selling_price,year,km_driven,mileage,engine,max_power,age,Diesel,Electric,LPG,Petrol,Manual,5seats,>5seats
1.2,2012.0,120000,19.7,796.0,46.3,10.0,0,0,0,1,1,1,0
5.5,2016.0,20000,18.9,1197.0,82.0,6.0,0,0,0,1,1,1,0
2.15,2010.0,60000,17.0,1197.0,80.0,12.0,0,0,0,1,1,1,0
2.26,2012.0,37000,20.92,998.0,67.1,10.0,0,0,0,1,1,1,0
5.7,2015.0,30000,22.77,1498.0,98.59,7.0,1,0,0,0,1,1,0
3.5,2013.0,35000,18.9,998.0,67.1,9.0,0,0,0,1,1,1,0
3.15,2013.0,40000,20.36,1197.0,78.9,9.0,0,0,0,1,1,1,0
4.1,2018.0,17512,20.51,998.0,67.04,4.0,0,0,0,1,1,1,0
10.5,2019.0,20000,18.15,998.0,118.35,3.0,0,0,0,1,0,1,0
5.75,2017.0,70000,18.49,1493.0,100.0,5.0,1,0,0,0,1,0,1
3.05,2015.0,50000,19.09,1405.0,69.01,7.0,1,0,0,0,1,1,0
11.5,2019.0,18000,20.37,1461.0,108.49,3.0,1,0,0,0,1,1,0
5.11,2017.0,28321,16.6,1197.0,85.0,5.0,0,0,0,1,1,1,0
4.1,2016.0,27000,19.34,1198.0,76.0,6.0,0,0,0,1,0,1,0
4.25,2013.0,65278,22.32,1582.0,126.32,9.0,1,0,0,0,1,1,0
7.5,2016.0,50000,19.64,1461.0,108.45,6.0,1,0,0,0,1,1,0
20.90249999999996,2017.0,6000,14.41,1998.0,189.08,5.0,0,0,0,1,0,1,0
6.5,2016.0,76000,28.09,1248.0,88.5,6.0,1,0,0,0,1,1,0
6.27,2016.0,20000,25.2,1248.0,74.0,6.0,1,0,0,0,1,1,0
14.25,2014.0,65000,19.27,2143.0,170.0,8.0,1,0,0,0,0,1,0
4.25,2014.0,62200,28.4,1248.0,74.0,8.0,1,0,0,0,1,1,0
6.05,2013.0,110000,12.99,2494.0,100.6,9.0,1,0,0,0,1,0,1
6.0,2015.0,20000,21.4,1197.0,83.1,7.0,0,0,0,1,1,1,0
5.75,2016.0,40000,20.85,1197.0,83.14,6.0,0,0,0,1,1,1,0
2.6,2012.0,97000,17.8,1248.0,76.0,10.0,1,0,0,0,1,1,0
4.25,2013.0,47000,16.09,1598.0,103.2,9.0,0,0,0,1,1,1,0
2.3,2013.0,25000,20.92,998.0,67.1,9.0,0,0,0,1,1,1,0
12.25,2019.0,15000,19.67,1582.0,126.2,3.0,1,0,0,0,1,1,0
3.75,2010.0,56823,14.02,2179.0,118.3,12.0,1,0,0,0,1,0,1
7.5,2015.0,50000,17.4,1497.0,117.3,7.0,0,0,0,1,1,1,0
3.5,2011.0,25000,13.6,2523.0,63.0,11.0,1,0,0,0,1,0,1
6.0,2015.0,90000,26.59,1248.0,74.0,7.0,1,0,0,0,1,1,0
3.9,2013.0,45000,26.59,1248.0,74.0,9.0,1,0,0,0,1,1,0
1.45,2007.0,77253,17.7,1497.0,78.0,15.0,0,0,0,1,1,1,0
7.0,2018.0,25000,17.19,1197.0,81.86,4.0,0,0,0,1,1,1,0
11.5,2013.0,110000,13.0,2982.0,168.5,9.0,1,0,0,0,1,0,1
3.4,2017.0,30000,23.01,999.0,67.0,5.0,0,0,0,1,1,1,0
4.65,2016.0,39993,18.6,1199.0,88.76,6.0,0,0,0,1,1,1,0
1.25,2009.0,80000,17.92,1086.0,62.1,13.0,0,0,0,1,1,1,0
6.0,2012.0,185000,15.1,2179.0,140.0,10.0,1,0,0,0,1,0,1
3.8,2013.0,90000,23.4,1248.0,74.0,9.0,1,0,0,0,1,1,0
4.0,2009.0,60000,14.0,2498.0,112.0,13.0,1,0,0,0,1,0,1
3.0,2014.0,90000,22.1,1248.0,74.0,8.0,1,0,0,0,1,1,0
5.0,2015.0,20000,19.1,1197.0,82.0,7.0,0,0,0,1,1,1,0
8.5,2018.0,15000,22.54,1396.0,88.73,4.0,1,0,0,0,1,1,0
5.98,2018.0,40000,18.6,1197.0,81.83,4.0,0,0,0,1,1,1,0
7.0,2015.0,31180,18.0,1497.0,117.3,7.0,0,0,0,1,0,1,0
9.0,2018.0,40000,18.49,1493.0,100.0,4.0,1,0,0,0,0,0,1
0.75,2004.0,50000,16.1,796.0,37.0,18.0,0,0,0,1,1,0,0
3.0,2015.0,58000,19.09,1396.0,69.0,7.0,1,0,0,0,1,1,0
4.1,2014.0,56000,23.4,1248.0,74.0,8.0,1,0,0,0,1,1,0
3.0,2011.0,93000,20.5,1248.0,91.7,11.0,1,0,0,0,1,1,0
2.25,2010.0,86000,12.2,1817.0,75.0,12.0,0,0,0,1,1,1,0
3.0,2011.0,120000,17.8,1248.0,5.0,11.0,1,0,0,0,1,1,0
5.9,2016.0,52427,21.4,1197.0,83.1,6.0,0,0,0,1,0,1,0
8.5,2020.0,40000,21.0,1498.0,74.96,2.0,1,0,0,0,1,0,1
1.08,2011.0,70000,26.0,624.0,35.0,11.0,0,0,0,1,1,0,0
5.5,2018.0,17000,18.15,1198.0,82.0,4.0,0,0,0,1,1,1,0
3.25,2012.0,54325,17.6,1496.0,88.73,10.0,0,0,0,1,1,1,0
6.25,2016.0,22000,15.4,1590.0,94.0,6.0,0,0,0,1,1,1,0
6.0,2016.0,54000,20.85,1197.0,83.14,6.0,0,0,0,1,1,1,0
4.45,2019.0,10000,20.51,998.0,67.04,3.0,0,0,0,1,1,1,0
5.3,2019.0,20000,20.89,1197.0,81.8,3.0,0,0,0,1,1,1,0
3.85,2011.0,61000,14.53,1798.0,138.1,11.0,0,0,0,1,1,1,0
4.1,2018.0,53237,26.6,998.0,58.16,4.0,0,0,0,0,1,1,0
3.5,2018.0,27263,22.5,999.0,68.0,4.0,0,0,0,1,1,1,0
